인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
HA06019-13010,500VA다운트랜스승압A타입,변압기및전압조정기,한일전자시스템100VA200VA500VA가정용소형변압기100W200W500W다운트랜스승압트랜스강압기승압기,제조,절연변압기>변압기및전압조정기>가정용소형변압기,명령에따른리콜,(주)한일테크,국내>아시아지역>대한민국,,,교환수거수리환불,화재및화상,4,2020-09-23
HH111066-17001,LID-TUL-BE,일반조명기구,국산엘그림LED사각욕실등25W주광색전구색,제조,조명기기>일반조명기구>LED등기구,명령에따른리콜,(주)디지탈조명,국내>아시아지역>대한민국,(주)디지탈조명,국내>아시아지역>대한민국,교환수거수리환불,감전,4,2020-09-23
JH11402-16005,AAB06-08W-57KB,일반조명기구,에어텍LEDT5슬림바슬림형광등간접조명디밍조광,제조,조명기기>일반조명기구>LED등기구,명령에따른리콜,(주)에어텍시스템,국내>아시아지역>대한민국,(주)에어텍시스템,국내>아시아지역>대한민국,교환수거수리환불,감전,4,2020-09-23
JL11055-16004,UNL-F-12,일반조명기구,유니크라이트,제조,조명기기>일반조명기구>LED등기구,명령에따른리콜,유니크라이트,국내>아시아지역>대한민국,,,교환수거수리환불,감전,4,2020-09-23
JU11257-16006A,HSC-DL410IG-A,일반조명기구,ZHEJIANGGUANGMULIGHTINGCO.LTD,제조,조명기기>일반조명기구>LED등기구,명령에따른리콜,(주)한승,국내>아시아지역>대한민국,ZHEJIANGGUANGMULIGHTINGCO.LTD,국외>아시아지역>중국,교환수거수리환불,감전,4,2020-09-23
JH11649-16001E,GB-LCF15FLCD,일반조명기구,(주)글로벌엘이디,수입,조명기기>일반조명기구>LED등기구,명령에따른리콜,(주)글로벌엘이디,미상>미상>미상,(주)글로벌엘이디,국내>아시아지역>대한민국,교환수거수리환불,감전,4,2020-09-23
HD11243-18003,ER-W20,일반조명기구,,제조,조명기기>일반조명기구>LED등기구,명령에따른리콜,창조테크,국내>아시아지역>대한민국,,,교환수거수리환불,감전,4,2020-09-23
HD06009-19004,1000VA다운트랜스DL-1000D,변압기및전압조정기,1K1000W다운트랜스소형변압기가정용변압기가정용트랜스DL-1000D,제조,절연변압기>변압기및전압조정기>가정용소형변압기,명령에따른리콜,대림테크,국내>아시아지역>대한민국,(주)한일테크,국내>아시아지역>대한민국,교환수거수리환불,화재및화상,4,2020-09-23
HU10595-17008,IVP1200-1500E4,직류전원장치,솔러스에어공기청정기,수입,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,에어로코리아주식회사,국외>아시아지역>중국,,,교환수거수리환불,화재및화상,4,2020-09-23
HU10424-18014,W&T-AD05W090050K,직류전원장치,컴포트아쿠아맙무선충전식물걸레청소기LAM-2019,수입,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,(주)벤하임코리아,국외>아시아지역>중국,(주)벤하임코리아,국내>아시아지역>대한민국,교환수거수리환불,감전,4,2020-09-23
HA10101-18002,HN1205CNC,직류전원장치,[하늘컴]아답터220V/12V5A[내경2.5mm/외경5.5mm]전원케이블일체형[비닐포장],제조,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,(주)하늘컴,국내>아시아지역>대한민국,,,교환수거수리환불,감전,4,2020-09-23
HU10814-18004,HDD19,직류전원장치,그랩비3포트핸드폰고속충전기CTM-03클레버타키온바이퍼럭스,수입,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,바이퍼럭스,국외>아시아지역>중국,ShenzhenHongdaShunTechnologyDevelopmentCo.Ltd,국외>아시아지역>중국,교환수거수리환불,감전,4,2020-09-23
JH10092-19004D,SD1205B,직류전원장치,큐브온6포트올퀵고속충전기,제조,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,두현일렉,국내>아시아지역>대한민국,두현일렉,국내>아시아지역>대한민국,교환수거수리환불,화재및화상,4,2020-09-23
HU10974-18001,FORLGLCB-PTA02,직류전원장치,,수입,정보통신사무기기>직류전원장치>직류전원장치,명령에따른리콜,(주)그린전산,국외>아시아지역>중국,(주)그린전산,국내>아시아지역>대한민국,교환수거수리환불,감전,4,2020-09-23
,SWISSBALLBASICSWISSBALLSTABLEGRISSWISSBALLSTABLEBORDEAUX,SWISSBALL,DOMYOS,수입,기타생활용품>,자발적리콜,(주)데카트론코리아,국외>아시아지역>중국,(주)데카트론코리아,국내>아시아지역>대한민국,수거환불파기제조유통금지,기타,자진리콜,2020-10-13
,헬로베이비세트(SK500)글라이드(K501G),몰티(molti),몰티(molti),제조,어린이>유아용의자,자발적리콜,주식회사시디즈,국내>아시아지역>대한민국,주식회사시디즈,국내>아시아지역>대한민국,교환환불제조유통금지개선조치,기타,자진리콜,2020-09-15
,캐릭터줄넘기노랑,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,㈜금홍팬시,국외>아시아지역>중국,Yiwujinshengtiaosheng,국외>아시아지역>중국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,캐릭터줄넘기민트,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,㈜금홍팬시,국외>아시아지역>중국,Yiwujinshengtiaosheng,국외>아시아지역>중국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,프랜즈구슬줄넘기하늘,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,㈜프랜즈코리아,국외>아시아지역>중국,㈜프랜즈코리아,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
,프랜즈구슬줄넘기분홍,기타어린이제품(줄넘기),,수입,기타어린이제품>,명령에따른리콜,㈜프랜즈코리아,국외>아시아지역>중국,㈜프랜즈코리아,국내>아시아지역>대한민국,교환수거수리환불,유해물질,환경부후속,2020-08-25
